index:ID,class,definition,description,:LABEL
20001,java.applet.Applet,"public class Applet
extends Panel","
An applet is a small program that is intended not to be run on
 its own, but rather to be embedded inside another application.
",Class
20002,java.awt.AlphaComposite,"public final class AlphaComposite
extends Object
implements Composite","
The AlphaComposite class implements basic alpha
 compositing rules for combining source and destination colors
 to achieve blending and transparency effects with graphics and
 images.
",Class
20003,java.awt.AWTEventMulticaster,"public class AWTEventMulticaster
extends Object
implements ComponentListener, ContainerListener, FocusListener, KeyListener, MouseListener, MouseMotionListener, WindowListener, WindowFocusListener, WindowStateListener, ActionListener, ItemListener, AdjustmentListener, TextListener, InputMethodListener, HierarchyListener, HierarchyBoundsListener, MouseWheelListener","
AWTEventMulticaster implements efficient and thread-safe multi-cast
 event dispatching for the AWT events defined in the java.awt.event
 package.
",Class
20004,java.awt.AWTPermission,"public final class AWTPermission
extends BasicPermission","
This class is for AWT permissions.
",Class
20005,java.awt.BorderLayout,"public class BorderLayout
extends Object
implements LayoutManager2, Serializable","
A border layout lays out a container, arranging and resizing
 its components to fit in five regions:
 north, south, east, west, and center.
",Class
20006,java.awt.BufferCapabilities.FlipContents,"public static final class BufferCapabilities.FlipContents
extends Object","
A type-safe enumeration of the possible back buffer contents after
 page-flipping
",Class
20007,java.awt.Checkbox,"public class Checkbox
extends Component
implements ItemSelectable, Accessible","
A check box is a graphical component that can be in either an
 ""on"" (true) or ""off"" (false) state.
",Class
20008,java.awt.CheckboxGroup,"public class CheckboxGroup
extends Object
implements Serializable","
The CheckboxGroup class is used to group together
 a set of Checkbox buttons.
",Class
20009,java.awt.Component,"public abstract class Component
extends Object
implements ImageObserver, MenuContainer, Serializable","
A component is an object having a graphical representation
 that can be displayed on the screen and that can interact with the
 user.
",Class
20010,java.awt.ComponentOrientation,"public final class ComponentOrientation
extends Object
implements Serializable","
The ComponentOrientation class encapsulates the language-sensitive
 orientation that is to be used to order the elements of a component
 or of text.
",Class
20011,java.awt.ContainerOrderFocusTraversalPolicy,"public class ContainerOrderFocusTraversalPolicy
extends FocusTraversalPolicy
implements Serializable","
A FocusTraversalPolicy that determines traversal order based on the order
 of child Components in a Container.
",Class
20012,java.awt.DefaultFocusTraversalPolicy,"public class DefaultFocusTraversalPolicy
extends ContainerOrderFocusTraversalPolicy","
The Desktop class allows a Java application to launch
 associated applications registered on the native desktop to handle
 a URI or a file.
",Class
20013,java.awt.Desktop,"public class Desktop
extends Object","
The DisplayMode class encapsulates the bit depth, height,
 width, and refresh rate of a GraphicsDevice.
",Class
20014,java.awt.DisplayMode,"public final class DisplayMode
extends Object","
EventQueue is a platform-independent class
 that queues events, both from the underlying peer classes
 and from trusted application classes.
",Class
20015,java.awt.EventQueue,"public class EventQueue
extends Object","
A flow layout arranges components in a directional flow, much
 like lines of text in a paragraph.
",Class
20016,java.awt.FlowLayout,"public class FlowLayout
extends Object
implements LayoutManager, Serializable","
The Font class represents fonts, which are used to
 render text in a visible way.
",Class
20017,java.awt.Font,"public class Font
extends Object
implements Serializable","
A Frame is a top-level window with a title and a border.
",Class
20018,java.awt.Frame,"public class Frame
extends Window
implements MenuContainer","
The GradientPaint class provides a way to fill
 a Shape with a linear color gradient pattern.
",Class
20019,java.awt.GradientPaint,"public class GradientPaint
extends Object
implements Paint","
This Graphics2D class extends the
 Graphics class to provide more sophisticated
 control over geometry, coordinate transformations, color management,
 and text layout.
",Class
20020,java.awt.Graphics2D,"public abstract class Graphics2D
extends Graphics","
The GraphicsConfiguration class describes the
 characteristics of a graphics destination such as a printer or monitor.
",Class
20021,java.awt.GraphicsConfiguration,"public abstract class GraphicsConfiguration
extends Object","
The GraphicsEnvironment class describes the collection
 of GraphicsDevice objects and Font objects
 available to a Java(tm) application on a particular platform.
",Class
20022,java.awt.GraphicsEnvironment,"public abstract class GraphicsEnvironment
extends Object","
The GridBagLayout class is a flexible layout
 manager that aligns components vertically, horizontally or along their
 baseline without requiring that the components be of the same size.
",Class
20023,java.awt.GridBagLayout,"public class GridBagLayout
extends Object
implements LayoutManager2, Serializable","
The GridLayout class is a layout manager that
 lays out a container's components in a rectangular grid.
",Class
20024,java.awt.GridLayout,"public class GridLayout
extends Object
implements LayoutManager, Serializable","
Capabilities and properties of images.
",Class
20025,java.awt.ImageCapabilities,"public class ImageCapabilities
extends Object
implements Cloneable","
A set of attributes which control a print job.
",Class
20026,java.awt.JobAttributes,"public final class JobAttributes
extends Object
implements Cloneable","
A type-safe enumeration of possible job destinations.
",Class
20027,java.awt.JobAttributes.DestinationType,"public static final class JobAttributes.DestinationType
extends Object","
A type-safe enumeration of possible multiple copy handling states.
",Class
20028,java.awt.JobAttributes.MultipleDocumentHandlingType,"public static final class JobAttributes.MultipleDocumentHandlingType
extends Object","
The KeyboardFocusManager is responsible for managing the active and focused
 Windows, and the current focus owner.
",Class
20029,java.awt.KeyboardFocusManager,"public abstract class KeyboardFocusManager
extends Object
implements KeyEventDispatcher, KeyEventPostProcessor","
The List component presents the user with a
 scrolling list of text items.
",Class
20030,java.awt.List,"public class List
extends Component
implements ItemSelectable, Accessible","
A Menu object is a pull-down menu component
 that is deployed from a menu bar.
",Class
20031,java.awt.Menu,"public class Menu
extends MenuItem
implements MenuContainer, Accessible","
The MenuBar class encapsulates the platform's
 concept of a menu bar bound to a frame.
",Class
20032,java.awt.MenuBar,"public class MenuBar
extends MenuComponent
implements MenuContainer, Accessible","
The abstract class MenuComponent is the superclass
 of all menu-related components.
",Class
20033,java.awt.MenuComponent,"public abstract class MenuComponent
extends Object
implements Serializable","
All items in a menu must belong to the class
 MenuItem, or one of its subclasses.
",Class
20034,java.awt.MenuItem,"public class MenuItem
extends MenuComponent
implements Accessible","
The MenuShortcutclass represents a keyboard accelerator
 for a MenuItem.
",Class
20035,java.awt.MenuShortcut,"public class MenuShortcut
extends Object
implements Serializable","
This is the superclass for Paints which use a multiple color
 gradient to fill in their raster.
",Class
20036,java.awt.MultipleGradientPaint,"public abstract class MultipleGradientPaint
extends Object
implements Paint","
A type-safe enumeration of possible color states.
",Class
20037,java.awt.PageAttributes.ColorType,"public static final class PageAttributes.ColorType
extends Object","
A type-safe enumeration of possible orientations.
",Class
20038,java.awt.PageAttributes.OrientationRequestedType,"public static final class PageAttributes.OrientationRequestedType
extends Object","
A type-safe enumeration of possible print qualities.
",Class
20039,java.awt.PageAttributes.PrintQualityType,"public static final class PageAttributes.PrintQualityType
extends Object","
A class that describes the pointer position.
",Class
20040,java.awt.PointerInfo,"public class PointerInfo
extends Object","
A class that implements a menu which can be dynamically popped up
 at a specified position within a component.
",Class
20041,java.awt.PopupMenu,"public class PopupMenu
extends Menu","
An abstract class which initiates and executes a print job.
",Class
20042,java.awt.PrintJob,"public abstract class PrintJob
extends Object","
A Rectangle specifies an area in a coordinate space that is
 enclosed by the Rectangle object's upper-left point
 (x,y)
 in the coordinate space, its width, and its height.
",Class
20043,java.awt.Rectangle,"public class Rectangle
extends Rectangle2D
implements Shape, Serializable","
Defines the base type of all keys used along with the
 RenderingHints class to control various
 algorithm choices in the rendering and imaging pipelines.
",Class
20044,java.awt.RenderingHints.Key,"public abstract static class RenderingHints.Key
extends Object","
The Scrollbar class embodies a scroll bar, a
 familiar user-interface object.
",Class
20045,java.awt.Scrollbar,"public class Scrollbar
extends Component
implements Adjustable, Accessible","
A container class which implements automatic horizontal and/or
 vertical scrolling for a single child component.
",Class
20046,java.awt.ScrollPane,"public class ScrollPane
extends Container
implements Accessible","
This class represents the state of a horizontal or vertical
 scrollbar of a ScrollPane.
",Class
20047,java.awt.ScrollPaneAdjustable,"public class ScrollPaneAdjustable
extends Object
implements Adjustable, Serializable","
A class to encapsulate symbolic colors representing the color of
 native GUI objects on a system.
",Class
