index:ID,package,description,:LABEL
10001,java.applet,"Provides the classes necessary to create an applet and the classes an applet
uses to communicate with its applet context.

The applet framework involves two
entities: the applet and the applet context. An applet is an 
embeddable window (see the Panel class) with a few extra methods that the applet 
context can use to initialize, start, and stop the applet.

The applet context is an application that is responsible for loading and running
applets. For example, the applet context could be a Web browser or an applet
development environment.",Package
10002,java.awt,"Contains all of the classes for creating user
interfaces and for painting graphics and images. A user interface object such as a button or a
scrollbar is called, in AWT terminology, a component. The Component class is the root of all
AWT components. See Component for a detailed description of properties that all AWT 
components share.

Some components fire events when a user interacts with the components. The AWTEvent
class and its subclasses are used to represent the events that AWT components can fire. See
AWTEvent for a description of the AWT event model.

A container is a component that can contain components and other containers. A con
tainer can also have a layout manager that controls the visual placement of components in the
container. The AWT package contains several layout manager classes and an interface for
building your own layout manager. See Container and LayoutManager for more information.

Each Component object is limited in its maximum size and
its location because the values are stored as an integer.
Also, a platform may further restrict maximum size and location
coordinates. The exact maximum values are dependent on the platform.
There is no way to change these maximum values, either in Java
code or in native code.
These limitations also impose restrictions on component layout.
If the bounds of a Component object exceed a platform limit,
there is no way to properly arrange them within a Container object.
The object's bounds are defined by any object's coordinate
in combination with its size on a respective axis. 

Additional Specification

The AWT Focus Subsystem
The AWT Modality",Package
10003,java.awt.color,"Provides classes for color spaces.  It contains an
implementation of a color space based on the International Color
Consortium (ICC) Profile Format Specification, Version 3.4, August 15,
1997.  It also contains color profiles based on the ICC Profile Format
Specification.",Package
10004,java.awt.datatransfer,"Provides interfaces and classes for transferring data
between and within applications.  It defines the notion of a
""transferable"" object, which is an object capable of being
transferred between or within applications. An object identifies
itself as being transferable by implementing the Transferable
interface.

It also provides a clipboard mechanism, which is an object that
temporarily holds a transferable object that can be transferred
between or within an application. The clipboard is typically used
for copy and paste operations. Although it is possible to create
a clipboard to use within an application, most applications will
use the system clipboard to ensure the data can be transferred
across applications running on the platform.",Package
10005,java.awt.dnd,"Drag and Drop is a direct manipulation gesture found in many Graphical
User Interface systems that provides a mechanism to transfer
information between two entities logically associated with presentation
elements in the GUI. Normally driven by a physical gesture of a
human user using an appropriate input device, Drag and Drop provides both
a mechanism to enable continuous feedback regarding the
possible outcome of any subsequent data transfer to the user during
navigation over the presentation elements in the GUI, and the facilities
to provide for any subsequent data negotiation and transfer. 

This package defines the classes and interfaces necessary to perform Drag
and Drop operations in Java. It
defines classes for the drag-source and the drop-target, as well as
events for transferring the data being dragged. This package also provides
a means for giving visual feedback to the user throughout the
duration of the Drag and Drop operation. 

A typical Drag and Drop operation can be decomposed into the following
states (not entirely sequentially): 

A DragSource comes into existence, 
associated with some presentation
element (Component) in the GUI, to initiate a Drag and Drop of
some potentially Transferable data. 

1 or more DropTarget(s) come into/go out of 
existence, associated
with presentation elements in the GUI (Components), potentially
capable of consuming Transferable data types. 

 A DragGestureRecognizer is 
obtained from the DragSource and is
associated with a Component in order 
to track and identify any Drag
initiating gesture by the user over the Component. 

 A user makes a Drag gesture over the Component, 
which the registered
DragGestureRecognizer detects, and notifies its
DragGestureListener of. 

Note: Although this API consistently refers to the stimulus for a
drag and drop operation being a physical gesture by a human user, this
does not preclude a programmatically driven DnD operation given the
appropriate implementation of a DragSource. This package
contains the abstract class MouseDragGestureRecognizer for
recognizing mouse device gestures. Other abstract subclasses may be
provided by the platform to support other input devices or
particular Component class semantics. 
    
 The DragGestureListener causes the 
DragSource to initiate the Drag
and Drop operation on behalf of the user, perhaps animating the
GUI Cursor and/or rendering an Image of the item(s) that are the
subject of the operation.

 As the user gestures navigate over Component(s) 
in the GUI with
associated DropTarget(s), the DragSource 
receives notifications in order
to provide ""Drag Over"" feedback effects, and the DropTarget(s)
receive notifications in order to provide ""Drag Under"" feedback effects
based upon the operation(s) supported and the data type(s) involved. 



The gesture itself moves a logical cursor across the GUI hierarchy,
intersecting the geometry of GUI Component(s), possibly resulting in
the logical ""Drag"" cursor entering, crossing, and subsequently
leaving Component(s) and associated DropTarget(s). 

The DragSource object manifests ""Drag Over"" feedback to the user, in the typical case by animating the GUI Cursor associated with the
logical cursor. 

DropTarget objects manifest ""Drag Under"" feedback to the user, in
the typical case, by rendering animations into their associated GUI
Component(s) under the GUI Cursor. 

The determination of the feedback effects, and the ultimate success
or failure of the data transfer, should one occur, is parameterized
as follows: 

 By the transfer ""operation"" selected by the user, and supported by
both the DragSource and DropTarget: Copy, Move or Reference(link). 

 By the intersection of the set of data types provided by the
DragSource and the set of data types comprehensible by the 
DropTarget. 

When the user terminates the drag operation, normally resulting in a
successful Drop, both the DragSource and DropTarget
receive
notifications that include, and result in the type negotiation and
transfer of, the information associated with the DragSource via a
Transferable object.",Package
10006,java.awt.event,"Provides interfaces and classes for dealing with different
types of events fired by AWT components. See the java.awt.AWTEvent
class for details on the AWT event model.  Events are fired by event
sources.  An event listener registers with an event source to receive
notifications about the events of a particular type.  This package
defines events and event listeners, as well as event listener
adapters, which are convenience classes to make easier the process of
writing event listeners.",Package
10007,java.awt.font,"Provides classes and interface relating to fonts.  It
contains support for representing Type 1, Type 1 Multiple Master
fonts, OpenType fonts, and TrueType fonts.",Package
10008,java.awt.geom,"Provides the Java 2D classes for defining and performing operations
on objects related to two-dimensional geometry.  Some important features
of the package include:

classes for manipulating geometry, such as AffineTransform and
the PathIterator interface which is implemented by all Shape objects.

classes that implement the Shape interface, such as
CubicCurve2D, Ellipse2D, Line2D, Rectangle2D, and GeneralShape.

the Area class which provides mechanisms for add (union), subtract,
intersect, and exclusiveOR operations on other Shape objects.",Package
10009,java.awt.im,"Provides classes and interfaces for the input method framework.
This package enables text editing components to receive text input
through input methods. Input methods are software components that let
the user enter text in ways other than simple typing on a keyboard.
They are commonly used to enter Japanese, Chinese, or Korean -
languages using thousands of different characters - on keyboards with
far fewer keys. However, the framework also supports input methods
for other languages and the use of entirely different input
mechanisms, such as handwriting or speech recognition.
Package Specification

Input Method
   Framework Specification
Input
   Method Client API Reference

Related Documentation
For overviews, tutorials, examples, guides, and tool
documentation, please see:

Input Method
   Framework Overview
Input
   Method Client API Tutorial",Package
10010,java.awt.im.spi,"Provides interfaces that enable the development of input methods
that can be used with any Java runtime environment. Input methods are
software components that let the user enter text in ways other than
simple typing on a keyboard. They are commonly used to enter
Japanese, Chinese, or Korean - languages using thousands of different
characters - on keyboards with far fewer keys. However, this package
also allows the development of input methods for other languages and
the use of entirely different input mechanisms, such as handwriting
recognition.
Package Specification

Input Method
   Framework Specification
Input
   Method Engine SPI Reference

Packaging Input Methods
Input methods are packaged as installed extensions, as specified
by the Extension
Mechanism. The main JAR file of an input method must contain the
file:
    META-INF/services/java.awt.im.spi.InputMethodDescriptor
The file should contain a list of fully-qualified class names, one
per line, of classes implementing the
java.awt.im.spi.InputMethodDescriptor interface. Space
and tab characters surrounding each name, as well as blank lines, are
ignored. The comment character is '#'
(\u0023); on each line all characters following the
first comment character are ignored. The file must be encoded in
UTF-8.
For example, if the fully-qualified name of the class that
implements java.awt.im.spi.InputMethodDesciptor for the
Foo input method is
com.sun.ime.FooInputMethodDescriptor, the file
META-INF/services/java.awt.im.spi.InputMethodDescriptor
contains a line:
    com.sun.ime.FooInputMethodDescriptor
The input method must also provide at least two classes: one class
implementing the java.awt.im.spi.InputMethodDescriptor
interface, one class implementing the
java.awt.im.spi.InputMethod interface. The input method
should separate the implementations for these interfaces, so that
loading of the class implementing InputMethod can be
deferred until actually needed.
Loading Input Methods
The input method framework will usually defer loading of input
method classes until they are absolutely needed. It loads only the
InputMethodDescriptor implementations during AWT
initialization. It loads an InputMethod implementation
when the input method has been selected.
Java Input Methods and Peered Text
Components
The Java input method framework intends to support all
combinations of input methods (host input methods and Java input
methods) and components (peered and lightweight). However, because of
limitations in the underlying platform, it may not always be possible
to enable the communication between Java input methods and peered AWT
components. Support for this specific combination is therefore
platform dependent. In Sun's Java SE Runtime Environments, this
combination is supported on Windows, but not on Solaris.
Related Documentation
For overviews, tutorials, examples, guides, and tool
documentation, please see:

Input
   Method Framework Overview
Input
   Method Engine SPI Tutorial",Package
